0,1,2,3
0.0,5870.621532010411,5870.621532010411,5871.815713109286
2.0,5871.318770881815,6355.61324537593,6357.109725135369
1.0,5871.815713109286,6360.533763935813,6371.84779859072
3.0,5872.184299237583,5884.534442688591,5894.021385553398
3.0,5872.488578879826,5889.235944058691,5938.452683702873
3.0,5873.0448989621045,5894.021385553398,5946.618565013449
0.0,5874.9654042045395,5874.9654042045395,5875.979992754418
1.0,5875.979992754418,6361.108256305016,6381.063092620455
4.0,5877.399673433999,6030.6619930411925,6068.206769617384
0.0,5878.347611134665,5878.347611134665,5878.385167598199
1.0,5878.385167598199,6371.84779859072,6388.383511737036
4.0,5884.46852805312,6032.958670999805,6044.2052705469105
4.0,5884.534442688591,6034.610242044107,6036.580863318473
0.0,5884.84835625799,5884.84835625799,5889.428950984028
3.0,5885.098768723485,5918.319582511434,5921.019357225415
4.0,5889.235944058691,6036.580863318473,6040.281203583072
1.0,5889.428950984028,6375.689283236143,6489.34413699024
0.0,5890.8615865813135,5890.8615865813135,5891.394799987343
1.0,5891.394799987343,6381.063092620455,6419.978779901222
4.0,5894.021385553398,6040.281203583072,6058.171929927921
2.0,5896.264128542888,6357.109725135369,6375.910696978485
0.0,5897.367021581671,5897.367021581671,5899.354260624798
3.0,5898.4065494589895,5921.019357225415,5932.8421852263145
1.0,5899.354260624798,6388.383511737036,6395.0115442820725
2.0,5901.409717045638,6369.768656889596,6369.783878917985
2.0,5901.734061439657,6369.783878917985,6383.5248249688475
0.0,5901.906421175338,5901.906421175338,5903.881818169839
2.0,5902.658842538242,6375.43703838033,6414.137891584522
1.0,5903.881818169839,6395.0115442820725,6411.703011976345
3.0,5904.092189399355,5932.8421852263145,5952.19653883201
2.0,5904.488098581137,6375.910696978485,6382.983740076998
2.0,5906.056340800984,6382.983740076998,6400.133833449284
2.0,5908.636883127253,6383.5248249688475,6384.995137807747
0.0,5908.808696444808,5908.808696444808,5908.931566403638
1.0,5908.931566403638,6411.703011976345,6414.428731729605
3.0,5910.731489332908,5938.452683702873,5959.5400034501645
0.0,5913.1995411631615,5913.1995411631615,5915.017835304762
3.0,5913.361027719577,5946.618565013449,5972.791014840367
1.0,5915.017835304762,6414.428731729605,6418.443049889117
2.0,5916.244255462776,6384.995137807747,6385.913141373023
2.0,5916.344517325946,6385.913141373023,6405.63788763746
4.0,5918.319582511434,6044.2052705469105,6076.042777946901
3.0,5918.566200064942,5952.19653883201,5965.499915902074
2.0,5919.867880727484,6400.133833449284,6401.70768266953
4.0,5921.019357225415,6058.171929927921,6063.339485278745
0.0,5923.147417120193,5923.147417120193,5924.025615282619
1.0,5924.025615282619,6418.443049889117,6449.050566446181
0.0,5924.9972441301,5924.9972441301,5925.034439385703
1.0,5925.034439385703,6419.978779901222,6430.947147534104
0.0,5927.024396313524,5927.024396313524,5927.835420021003
1.0,5927.835420021003,6430.947147534104,6447.346580848014
3.0,5929.256323860141,5959.5400034501645,5967.381381279823
2.0,5930.66008987896,6401.70768266953,6408.0855382528125
0.0,5931.055427520985,5931.055427520985,5932.389463827755
2.0,5931.877051812688,6405.63788763746,6409.244290981514
2.0,5932.119841099927,6408.0855382528125,6432.749084082552
2.0,5932.338724024995,6409.244290981514,6431.4779299307775
1.0,5932.389463827755,6447.346580848014,6473.252015266596
0.0,5932.756638511285,5932.756638511285,5934.259041199743
4.0,5932.8421852263145,6063.339485278745,6067.604960431854
1.0,5934.259041199743,6449.050566446181,6485.56277991323
2.0,5936.097923914469,6414.137891584522,6430.1972025692785
4.0,5938.452683702873,6067.604960431854,6069.012801223761
3.0,5945.292307691247,5965.499915902074,5969.21303761937
2.0,5946.543479372798,6430.1972025692785,6447.948392164174
4.0,5946.618565013449,6068.206769617384,6068.376929871471
2.0,5949.195119114418,6431.4779299307775,6482.132458599511
3.0,5949.623984310554,5967.381381279823,5978.659672883199
4.0,5952.19653883201,6068.376929871471,6068.664636905355
2.0,5953.4756246757825,6432.749084082552,6455.8074830546175
0.0,5955.716716215701,5955.716716215701,5956.253406903541
1.0,5956.253406903541,6473.252015266596,6474.252107548458
3.0,5958.38119869809,5969.21303761937,5981.17572590911
0.0,5958.492977610163,5958.492977610163,5958.874985079486
1.0,5958.874985079486,6474.252107548458,6494.403833210464
4.0,5959.5400034501645,6068.664636905355,6074.48200447174
2.0,5960.758125186994,6447.948392164174,6452.799609536916
3.0,5962.001362574708,5972.791014840367,5982.34521867247
0.0,5963.335172759208,5963.335172759208,5964.321016940047
3.0,5963.499796322522,5978.659672883199,5980.65306176206
2.0,5964.015770917198,6452.799609536916,6456.000013681459
1.0,5964.321016940047,6485.56277991323,6497.725606114787
4.0,5965.499915902074,6069.012801223761,6136.342919717447
4.0,5967.381381279823,6074.48200447174,6091.837547316184
3.0,5967.69148973308,5980.65306176206,6007.859796476323
0.0,5968.883790017354,5968.883790017354,5969.4901448317405
4.0,5969.21303761937,6076.042777946901,6077.004195372184
